Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-04-22,20MICRONS,EQ,35.75,35.7,37.0,35.05,36.45,36.0,35.96,66086,237634175000.0,605,35089,0.531
2021-04-23,20MICRONS,EQ,36.0,36.75,36.75,35.4,36.5,36.3,35.95,65388,235063829999.99997,669,43464,0.6647
2021-04-26,20MICRONS,EQ,36.3,36.3,36.9,35.9,36.3,36.1,36.35,44347,161186635000.0,572,29741,0.6706000000000001
2021-04-27,20MICRONS,EQ,36.1,36.45,37.4,36.05,37.15,37.15,36.9,74870,276296480000.0,687,53673,0.7169
2021-04-28,20MICRONS,EQ,37.15,37.5,38.1,37.15,37.2,37.6,37.7,56095,211502985000.0,798,36890,0.6576000000000001
2021-04-29,20MICRONS,EQ,37.6,38.0,39.05,36.75,38.75,38.7,38.16,128921,491998790000.00006,972,84965,0.659
2021-04-30,20MICRONS,EQ,38.7,39.0,40.5,38.05,38.1,38.2,39.37,286685,1128785990000.0,2138,184504,0.6436000000000001
2021-05-03,20MICRONS,EQ,38.2,38.1,40.1,37.9,39.35,39.4,39.34,192281,756463950000.0,1310,133026,0.6918000000000001
2021-05-04,20MICRONS,EQ,39.4,39.9,41.0,37.1,37.95,37.8,39.3,194547,764489450000.0,1793,116108,0.5968
2021-05-05,20MICRONS,EQ,37.8,38.8,39.25,37.85,38.5,38.2,38.56,61186,235908670000.00003,880,38680,0.6322
2021-05-06,20MICRONS,EQ,38.2,38.8,40.1,37.65,39.55,39.7,39.18,165283,647564460000.0,1340,115039,0.696
2021-05-07,20MICRONS,EQ,39.7,39.25,40.15,39.0,39.6,39.7,39.51,110032,434717670000.0,1374,58492,0.5316
2021-05-10,20MICRONS,EQ,39.7,40.8,47.6,39.5,47.0,46.85,44.21,2229304,9856180650000.0,8853,1185811,0.5319
2021-05-11,20MICRONS,EQ,46.85,46.65,49.7,45.9,46.95,46.8,48.25,1142577,5513250505000.0,7146,516459,0.452
2021-05-12,20MICRONS,EQ,46.8,46.6,48.3,43.7,47.05,46.9,45.92,758796,3484615095000.0005,4745,358756,0.4728
2021-05-14,20MICRONS,EQ,46.9,47.5,48.3,46.3,47.25,47.0,47.15,315258,1486363315000.0,2427,173366,0.5499
2021-05-17,20MICRONS,EQ,47.0,47.25,51.25,47.15,48.9,48.9,49.62,574422,2850162075000.0,4514,293763,0.5114
2021-05-18,20MICRONS,EQ,48.9,49.9,58.65,47.9,56.9,57.05,56.48,3963028,22384403050000.0,17533,1316460,0.3322
2021-05-19,20MICRONS,EQ,57.05,55.85,57.0,53.35,54.7,54.6,54.78,723160,3961308029999.9995,7562,363978,0.5033
2021-05-20,20MICRONS,EQ,54.6,55.0,65.5,55.0,65.5,65.3,62.07,3459314,21472481090000.0,20673,1252744,0.36210000000000003
2021-05-21,20MICRONS,EQ,65.3,67.0,68.0,61.7,63.2,62.8,65.23,2096237,13673160575000.0,18275,883085,0.4213
2021-05-24,20MICRONS,EQ,62.8,63.85,69.05,62.85,69.05,69.05,66.8,1089240,7276307945000.0,7626,608319,0.5585
2021-05-25,20MICRONS,EQ,69.05,70.5,74.9,68.4,70.8,70.1,71.51,1439386,10293296430000.0,11794,675120,0.469
2021-05-26,20MICRONS,EQ,70.1,70.95,73.0,67.5,68.7,68.35,70.52,564132,3978478595000.0005,5353,270906,0.4802
2021-05-27,20MICRONS,EQ,68.35,68.9,69.75,66.0,67.6,68.15,67.9,547676,3718502879999.9995,4367,268611,0.4905
2021-05-28,20MICRONS,EQ,68.15,69.0,69.5,62.25,64.45,63.65,65.22,682674,4452228950000.0,5562,409531,0.5999
